"os_id","contribution_date","name","address","country_code","country_name","lat","lng","sector","contributor (list)","number_of_workers","parent_company","processing_type_facility_type_raw","facility_type","processing_type","product_type","is_closed"
"IN202435635X9NG","2024-12-20","ADIGURU TEXTILES PRIVATE LIMITED","125-L, MODEL TOWN, Delhi, HR","IN","India",28.7095346,77.1887698,"Textiles","Open Supply Hub Research Team [Public Data] (December 20 2024)","","","","","","","False"
"IN2020191PNA88B","2020-07-09","ADI Textiles","206, Mile Stone, Near Drive in Cinema, Thaltej, Ahmedabad","IN","India",23.0474369,72.5277141,"Apparel","Better Cotton (Better Cotton Initiative June 2020)|Better Cotton (Better Cotton Initiative May 2021)","","","","","","","False"
"IN2025121FPA0K6","2025-04-22","Adwaith Lakshmi Industries Private Limited (Home Textile Division)","SF No: 137/3, 137/4, Sangothipalayam, Kaniyur Post, Karumathampatti Via, Coimbatore - 641659, Coimbatore, Tamilnadu 641659","IN","India",11.1009905,77.1391687,"Apparel","Worldwide Responsible Accredited Production (WRAP Facility List 04222025)","177","","","","","","False"
"IN2020191NYKZ8K","2020-07-09","ADWAITH TEXTILES LIMITED","114 A, Senthottam,, Sowripalayam Post,, Coimbatore","IN","India",11.000496,77.003413,"Apparel|Home Textiles|Textiles","Better Cotton (Better Cotton Initiative June 2020)|Better Cotton (Better Cotton Initiative May 2021)|A Brand / Retailer|Hanna Andersson LLC (SS24 Supply Chain Map UPDATED)|Cotton Egypt Association [Public List] (Accredited Egyptian Cotton Manufacturers as of May 2025)","","","Spinning, Weaving|Raw Material Processing or Production","Raw Material Processing or Production","Raw Material Processing or Production|Spinning|Weaving","Cotton","False"
"IN2023361PNT5SB","2023-12-27","Agriya Textile","SF No 290/1, Shed No.A-88, HI-Tech Weaving Park, Trichy National Highway, Sukkampalayam Village, Palladam","IN","India",10.7904833,78.7046725,"Apparel|Unspecified","Target Corporation (Target Factory List August 2024)|An Auditor / Certification Scheme / Service Provider|Target Corporation (Target Factory List Jan 2024)|A Civil Society Organization|SLCP (Social & Labor Convergence Program List 2025)","","","","","","","False"
"IN2023062C7ACH0","2023-03-03","Aishverya Textile Dyerrs","1-A, North Street, Ayyan Kurai Thottam, Lakshmi Theatre Back Side","IN","India",20.593684,78.96288,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2024260RFZ0HY","2024-09-16","AISHWARYA TEXTILE PRINTERS","RSF No:128, Kongampalayam, Near Ondikarupparayan Kovil Thottam, Chittode (Post) Erode, 638102","IN","India",11.3953513,77.6629938,"Plastics|Textiles","Ecocert [Public List] (Ecocert - September 2024 Production Locations List)","","","Handler","","Handler"," Textile Products","False"
"IN2025213ZWASAE","2025-08-01","AJANTA TEXTILES","17, BASANTLAL MURARKA ROAD, 2ND FLOOR, KOLKATA, WEST BENGAL","IN","India",22.572646,88.36389500000001,"Apparel Accessories|Textiles","India Export Promotion Council for Handicrafts [Public List] (EPCH Members 0-9 & A-J as of July 2025)","","","","","","Handicrafts|Cotton","False"
"IN2022331M5BZX4","2022-11-27","Ajit Textiles","E-197, Phase-II, MIA-BASNI,","IN","India",26.2288084,73.0088993,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2022358WV6Q67","2022-12-24","Akhand Textile","Plot No. 11-14, Mahek Tex Fab Infra Park, Pariya Gam, Sayan, Surat,","IN","India",21.3199495,72.8816726,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2021006WBQEEW","2021-01-06","AKR Industries Private Limited Unit-09 (Former Name: AKR Textile Unit-09)","UNIT 9 SF NO.298/3 NEHRU NEGAR EXTN, RING ROAD, 15 VELAMPALAYAM, TIRUPPUR","IN","India",11.0965906,77.39107299999999,"Apparel|Unspecified","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|An Auditor / Certification Scheme / Service Provider|PVH (PVH Brand Facility List Dec 2022)|An Auditor / Certification Scheme / Service Provider|PVH (PVH Facility List June 2023)|Wikirate International e.V. (2020 Apparel Suppliers on Wikirate part 6)|A Civil Society Organization|SLCP (Social & Labor Convergence Program List 2025)","201-500","","Level 1","","","","False"
"IN2020191DBGMEG","2020-07-09","AKR Textile","Mumoorthy Nagar,P.N. Road, Tirupur ? 641602,India, Tirupur","IN","India",11.1551019,77.3481711,"Apparel","Better Cotton (Better Cotton Initiative June 2020)|Better Cotton (Better Cotton Initiative May 2021)","","","","","","","False"
"IN2019259DVZD5C","2019-09-16","AKR TEXTILE","NO.18/2, Amblipura, Bellandur Gate, Sarajapura Main road, Bangalore - Bangalore - 560102 - Karnataka","IN","India",12.9252421,77.6754739,"Apparel","Inditex [Public List] (Inditex August 2018 Facility List)|Tom Tailor GmbH (Tom Tailor Facility List January 2021)","","","","","","","False"
"IN20213579E96G1","2021-12-23","AKR TEXTILE - UNIT 2 COMBATORE","S.F. NO.388 DEVARAYAMPALAYAM SOMANUR COIMBATORE TAMIL NADU 641 668","IN","India",11.0515162,77.1808679,"Apparel","A Brand / Retailer","","","","","","","False"
"IN2023097T9R55K","2023-04-07","AKR TEXTILE UNIT 5","103/2/3, KODICHIKKANAHALLI, BEGUR HO, BANGALORE560068 560068","IN","India",12.8983486,77.61779840000001,"Apparel","A Brand / Retailer","","","","","","","False"
"IN2021182K4NBSQ","2021-07-01","Akshaya Textile","18-A, Sengunthapuram, Karur, Tamil Nadu, 639002","IN","India",10.9635383,78.0715828,"Apparel","A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer","","","","","","","False"
"IN2024260K5ZJR8","2024-09-16","AKSHAYA TEXTILE","No. 14A-1, Bharathi Nagar West, 639002 KARUR","IN","India",10.964399,78.062798,"Textiles","Ecocert [Public List] (Ecocert - September 2024 Production Locations List)","",""," Processor|Manufacturer ","","Processor|Manufacturer","","False"
"IN2023150GSEQVD","2023-05-30","Akshaya Textiles","Survey No: 9/11, Door No: N.P.IX/362, Mandapamtheru, Narathu, Kannadiparamba,  Kannur","IN","India",11.9387372,75.4038798,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2022330C54PFX","2022-11-26","AK Textile","Shop no. 1012, block 87/A Raj textile market, Shakti nagar, Magob,","IN","India",26.8769304,80.96914749999999,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN202306241345Q","2023-03-03","A K Textile Industries","Plot No. 11, Main Palwali Road, second Part, Palwali Kheri Kalan, Tehsil,","IN","India",28.1797918,77.3924285,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2023264SRPD64","2023-09-21","Alinaa Technical Textile Private Limited","S.F. No: 434-A1-A, Kethanur Village, Palladam, Udumalai Main Road, ,Tirupur,641671,Tamil Nadu,India","IN","India",10.7618223,77.26857729999999,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2022331V1E3EZ","2022-11-27","Amaravathi Textiles","9D/5, Ramakrishnapuram","IN","India",13.0422308,80.22819799999999,"Apparel|Home|Home Textiles|Textiles|Unspecified","India Export Promotion Council for Handicrafts [Public List] (EPCH Members 0-9 & A-J as of July 2025)|An Auditor / Certification Scheme / Service Provider|A Civil Society Organization|SLCP (Social & Labor Convergence Program List 2025)","","","","","","Handicrafts","False"
"IN2025128ZT255G","2025-05-08","AMARAVATHI TEXTILES PRIVATE LIMITED","BESIDE-H-NH 5, MARTUR, PRAKASAM DISTRICT, ANDHRA PRADESH, 523301, India","IN","India",15.9881745,80.1051275,"Textiles","Cotton Egypt Association [Public List] (Accredited Egyptian Cotton Manufacturers as of May 2025)","","","Spinning","","Spinning","Cotton","False"
"IN2022339ET6Q1J","2022-12-05","Amaravathi Textiles (Weaving Division)","1981/A, 1982, Chinnandan Koil Main Road,","IN","India",20.593684,78.96288,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2022062HEDX7N","2022-03-03","AMBIKA TEXTILE  ","Avinashi Tiruppur, Coimbatore, Tamil Nadu","IN","India",11.0168445,76.9558321,"Apparel","A Brand / Retailer","","","","","","","False"
"IN20221745R46P6","2022-06-23","Ambrerly Textiles","Vinayagapuram,Coimbatore, Tamilnadu","IN","India",11.0611017,77.0025849,"Apparel","A Brand / Retailer","","","","","","","False"
"IN20241012ZB7K7","2024-04-10","Ambrosia Textiles","Sector 25 Part-II, Huda, No. 5, Panipat","IN","India",29.4281707,76.985946,"Unspecified","A Civil Society Organization|A Civil Society Organization|A Multi-Stakeholder Initiative|A Civil Society Organization|ALDI Services Asia Limited (ALDI SOUTH Group Facility List October 2024)|ALDI Services Asia Limited (ALDI SOUTH Group Facility List April 2024)","","","","","","Household textiles|Household Textiles","False"
"IN2025213E36A18","2025-08-01","AMBROSIA TEXTILES","PLOT NO. 42-43, BASANT KUNJ, OPP. SECTOR-25, PART-II, PANIPAT, HARYANA","IN","India",29.3697192,76.98613139999999,"Apparel Accessories|Home Accessories|Textiles","India Export Promotion Council for Handicrafts [Public List] (EPCH Members 0-9 & A-J as of July 2025)","","","","","","Handicrafts|Jute","False"
"IN2023258G6WPPB","2023-09-15","Ambrosia Textiles (Main)","Risalu Road, Risalu Road, Panipat, Panipat","IN","India",29.3666787,76.9992171,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2022007FRW7GY","2022-01-07","AMD TEXTILE","SHATABDI APARTMENT-I,A-9/99 SGAKUKNAR BAGH, GHAZIABAD UP","IN","India",28.6718483,77.4384106,"Apparel|Printing|Unspecified","A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer","","","","","","","False"
"IN2025213W6N467","2025-08-01","AMERICAN TEXTILE COMPANY","32-C, RAMAKRISHAPURAM EAST, KARUR, TAMIL NADU","IN","India",10.9638925,78.0763619,"Consumer Products","India Export Promotion Council for Handicrafts [Public List] (EPCH Members 0-9 & A-J as of July 2025)","","","","","","Handicrafts","False"
"IN20243564ZFB9K","2024-12-20","AMEVA TEXTILE PRIVATE LIMITED","No.33, Thanneer Pandal Valasu, Patchapalayam, Kangeyam Taluk, Coimbatore, TN","IN","India",11.0359339,77.0156628,"Textiles","Open Supply Hub Research Team [Public Data] (December 20 2024)","","","","","","","False"
"IN202502802VT34","2025-01-28","AMIRTHAA TEXTILE PROCESSING PRIVATE LIMITED","D.NO.2-3/6, KL LAKSHMANACHETTY STREET, Salem, Salem, Tamil Nadu, India - 637502","IN","India",11.6237714,77.96244349999999,"Textiles","Open Supply Hub Research Team [Public Data]","","","","","","","False"
"IN2023076GTE4Z6","2023-03-17","AMJ TEXTILES","Sarpanch ki dhani,,Shikarpura, Sanganer","IN","India",26.7693815,75.7971126,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2025213QD5A92","2025-08-01","AMMAIYAPPA TEXTILES","33B, RAMANUJAM NAGAR, ANNA NAGAR, KARUR, TAMIL NADU","IN","India",10.959878,78.069108,"Consumer Products","India Export Promotion Council for Handicrafts [Public List] (EPCH Members 0-9 & A-J as of July 2025)","","","","","","Handicrafts","False"
"IN20243352ANGSM","2024-11-05","Ammayaper Textiles Arakkonanam","Private Ltd Door No 665 2 12 Arakkonanam to Thiruttani Main Rd Thanihai Polur Village 631 003 Tamilnadu India","IN","India",10.4712706,79.5753594,"Apparel","Wikirate International e.V. (2020 Apparel Suppliers on Wikirate part 7)","1626","","","","","","False"
"IN2021218N8WWD9","2021-08-06","AMMAYAPPER TEXTILES PRIVATE LIMITED","No:665/2-4, 6-12., THNIGAIPOLUR, THANIGAIPOLUR, ARAKONAM TALUK, VELLORE DIST- 631003.    ","IN","India",13.1259838,79.6420169,"Apparel|Unspecified","A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|River Island (River Island's Facility List September 2024)|A Brand / Retailer|Next Plc (Next Tier 1 and Tier 2 Factory List March 2023)|River Island (River Island Factory List September 2023)|River Island (River Island Facility List March 2024)|River Island (River Island Facility List March 2024)|River Island (River Island's Tier 1 Factory List March 2025)|A Civil Society Organization|SLCP (Social & Labor Convergence Program List 2025)","1430|1430|1430|1001-2000|1001-2000","","Tier 1","","","","False"
"IN20201903HPZZD","2020-07-08","Ammayapper Textiles Private Limited (Chennai)","1359 , Perambakkam High RoadGandhipet , Ulundai PostThiruvallurChennai602105","IN","India",13.0402544,79.8171222,"Apparel|Textiles|Unspecified","A Multi-Stakeholder Initiative|A Civil Society Organization|A Multi-Stakeholder Initiative|A Civil Society Organization|A Civil Society Organization|Partnership for Sustainable Textiles (PST) (PST Aug 2025 - 0-9, A-G)|A Civil Society Organization|C&A (C&A Europe Facility List Sep 2025)|C&A (C&A Europe Facility List Sep 2025)|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Civil Society Organization|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Civil Society Organization|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|A Civil Society Organization|A Brand / Retailer|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|An Auditor / Certification Scheme / Service Provider|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|C&A (C&A Europe Facility List April 2025)|A Civil Society Organization|SLCP (Social & Labor Convergence Program List 2025)|C&A Modas S/A (C&A Brazil Tier 2 Suppliers List June 2025)","1001-2000|1001-2000|1001-2000|1001-2000|1000-5000","","Printing|Laundry| Printing|washing|Washing","","Printing|Laundry|Washing|Laundry|washing|Printing|Laundry|Printing|washing|Laundry|Printing|washing|washing|Printing|Laundry","Baby|Skirts|Blouses|Dresses|Trousers|Shirts|Jeans|Baby|Skirts|Blouses|Dresses|Trousers|Shirts|Jeans|Baby|Skirts|Blouses|Dresses|Trousers|Shirts|Jeans|Baby|Skirts|Blouses|Dresses|Trousers|Shirts|Jeans|Baby| Trousers| Dresses| Jeans| Blouses| Shirts| Skirts","False"
"IN2019181HPDQ91","2019-06-30","Ammayapper Textiles Private Ltd","1359/1 Perambakkam High Road Ulandai Post Gandhipettai Tamil Nadu","IN","India",13.0402544,79.8171222,"Apparel","Debenhams [Public List] (Debenhams Facility List December 2018)|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|PPE: Defence Research & Development Organisation (DRDO) (Certified manufacturers of Body Coveralls in India)|An Other|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Wikirate International e.V. (2018 Apparel Suppliers on Wikirate part 3)|Wikirate International e.V. (2018 Apparel Suppliers on Wikirate part 7)","989","","","","","","False"
"IN2019083D8HEHK","2019-03-24","AMMAYAPPER TEXTILES PRIVATE LTD- 526008 ","THIRUTANI ARAKONAM ROAD,THANIGAI POLUR VILLAGEARAKONAM ","IN","India",13.1259838,79.6420169,"Apparel|Textiles|Unspecified","A Brand / Retailer|A Multi-Stakeholder Initiative|A Civil Society Organization|A Multi-Stakeholder Initiative|A Civil Society Organization|A Civil Society Organization|Partnership for Sustainable Textiles (PST) (PST Aug 2025 - 0-9, A-G)|A Civil Society Organization|C&A (C&A Europe Facility List Sep 2025)|C&A (C&A Europe Facility List Sep 2025)|A Civil Society Organization|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|Tesco Stores Ltd (Tesco F&F Facility List June 2024)|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Civil Society Organization|A Brand / Retailer|Tesco Stores Ltd (Tesco F&F Facility List May 2022)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Tesco Stores Ltd (F&F Facility List Oct 2023)|Wikirate International e.V. (2018 Apparel Suppliers on Wikirate part 7)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|An Auditor / Certification Scheme / Service Provider|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Multi-Stakeholder Initiative|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Wikirate International e.V. (2020 Apparel Suppliers on Wikirate part 10)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Tesco Stores Ltd (Tesco F&F Clothing and Home Textile 2024HY list)|C&A (C&A Europe Facility List April 2025)","1001-2000|1001-2000|1001-2000|1235|1001-2000",""," Final product assembly|Embroidery|Final Product Assembly","","Embroidery|Final Product Assembly|Final product assembly|Embroidery|Final product assembly|Embroidery|Final product assembly|Embroidery","Skirts|Dresses|Trousers|Shirts|Jeans|Skirts|Dresses|Trousers|Shirts|Jeans|Skirts|Dresses|Trousers|Shirts|Jeans|Skirts|Dresses|Trousers|Shirts|Jeans","False"
"IN20190831M8ZP0","2023-03-30","Ammayapper Textiles Pvt Ltd.","Sy No 1354 & 1359 Perambakkam, High Road, Gandhipettai, Thiruvallur","IN","India",13.0402544,79.8171222,"Apparel|Unspecified","A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Better Cotton (Better Cotton Initiative June 2020)|A Brand / Retailer|Better Cotton (Better Cotton Initiative May 2021)|A Brand / Retailer|Tesco Stores Ltd (Tesco F&F Facility List May 2022)|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Multi-Stakeholder Initiative|Wikirate International e.V. (2020 Apparel Suppliers on Wikirate part 8)","1856","","","","","","False"
"IN20222656T607Q","2022-09-22","Ammayapper Textiles Pvt Ltd Gandhipettai","Ulandai Post Perambakkam Rd Thiruvallor Taluk Dist Pin Code 604 105","IN","India",9.6627317,78.58570979999999,"Apparel","A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|A Brand / Retailer|Next Plc (Next Tier 1 and Tier 2 Factory List March 2023)","","","","","","","False"
"IN20250281EMWDP","2025-01-28","AMQUA TEXTILES INDIA PRIVATE LIMITED","No. 275, Sector- 4, Mansa Devi Complex, Panchkula, Panchkula, Haryana, India - 134114","IN","India",30.72392769999999,76.8552462,"Textiles","Open Supply Hub Research Team [Public Data]","","","","","","","False"
"IN2025213XWJGGH","2025-08-01","AMRITSAR SWADESHI TEXTILE CORPORATION PVT LTD","AMRITSAR SWADESHI WOOLLEN MILLS, (UNIT OF ASTC.P.L) RAM TIRATH ROAD, AMRITSAR, PUNJAB","IN","India",31.641366,74.8351451,"Consumer Products","India Export Promotion Council for Handicrafts [Public List] (EPCH Members 0-9 & A-J as of July 2025)","","","","","","Handicrafts","False"
"IN2025028HT49JM","2025-01-28","ANAADIH TEXTILES INDIA PRIVATE LIMITED","68, Jessore Road, Diamond Arcadeunit No.413, 4Th Floor, Kolkata, West Bengal","IN","India",22.6189312,88.4105876,"Textiles","Open Supply Hub Research Team [Public Data]","","","","","","","False"
"IN2024329T4NXPK","2024-11-05","Anandh Textiles LLP","85/2, Chennimalai Road, Perundurai, Erode-638052, Chennai","IN","India",11.2599449,77.581501,"Apparel","Wikirate International e.V. (2018 Apparel Suppliers on Wikirate part 1)","","","","","","","False"
"IN2023264RAX24F","2023-09-19","ANAND TEXTILE LLP UNIT-2","SF.NO:728 D.NO:85/33,34,35, PANICKAMPALAYAM, PERUNDURAI ","IN","India",11.2620012,77.5859437,"Apparel|Unspecified","A Brand / Retailer|Worldwide Responsible Accredited Production (WRAP Facility List December 2024)|Worldwide Responsible Accredited Production (WRAP Facility List 04222025)|C&A Modas S/A (C&A Brazil Tier 1 Suppliers List June 2025)","576|1-1000|576","","Final product assembly","","Final product assembly"," Trousers| Flat Knit|Circular Knit| Dresses| Shirts| Nightwear| Underwear| Legwear","False"
"IN2025213XVF52M","2025-08-01","ANAND TEXTILES","BP-VI/256, MOOPPANPARA VALAPATTANAM, KANNUR, KERALA","IN","India",11.9261679,75.3499629,"Textiles","India Export Promotion Council for Handicrafts [Public List] (EPCH Members 0-9 & A-J as of July 2025)","","","","","","Handicrafts","False"
"IN2024260PTSCJE","2024-09-16","ANAND TEXTILES","Pattuvamtheru, Chirakkal P.O, 670011 Kannur","IN","India",11.9166981,75.3566623,"Plastics|Textiles","Ecocert [Public List] (Ecocert - September 2024 Production Locations List)","",""," Processor|Manufacturer ","","Processor|Manufacturer"," Textile Products","False"
